restaurants_name,restaurants_phone,restaurants_users_name,restaurants_users_reviews
The Brick Pub & Grill,(425) 207-8951,Mike C.,"Very good food
Crab cakes were amazing gourmet
The Philly cheese was very tender and juicy"
The Brick Pub & Grill,(425) 207-8951,Michelle M.,"We've come here a few times, once during happy hour and then once during dinner service on the weekend. Both times, the food has been delicious, perfectly priced, and served with a lot of heart.
I recommend both the Philly Dip and the Steak and Baked Fries.
Happy hour menu is great!"
The Brick Pub & Grill,(425) 207-8951,Kim W.,"Came in for a Seahawks game
Pros:
Great for groups, lots of space and doesn't get too crowded which I like. Our server Andrew was amazing and really went out of his way to give us great service.
Cons:
Apparently they released a new menu the day before we came and boy if I knew I would NOT have come here. Way over priced for the type of food you get, basic bar food at restaurant prices. I was planning on coming and getting food all afternoon for the game but fries alone were almost 10$ after tax. Way way way overpriced for what food you get. My group ordered wings (which were good), nachos (alright), backyard burger (burnt) and drinks for each of us. Our bill was over $100. Somethings off if they think this will bring people in."
The Brick Pub & Grill,(425) 207-8951,Eric O.,"Love the restaurant interior, staff is friendly, and drink options are plentiful. Some cons for me were pricy food items, small potions, and TVs mounted too high. I got to the eatery about 30 minutes after they opened. There were only two others in the restaurant. The bartender chatted up all the patrons and was so nice to interact with. Food came out quickly and the plates were properly warmed. I was impressed that the place had large screen TVs all around each wall of the space which was great. My only gripe was they were punted close to the ceiling. So Monday Night Football was on the screen in front of me at the bar and I had to strain my neck a little. All in all a decent spot. I really want to rate this higher, but with the prices/portion ratio is a bit off. I will visit again when there are more patrons. Would like to see service with more people in the spot."
The Brick Pub & Grill,(425) 207-8951,Mike H.,"Let start off by saying WOW, just WOW!! I have never had a steak salad before and i never knew what i was missing until now. I order the black and blue salad. The salad itself was large and had a good portion of steak on it. The salad was fresh and so were all the toppings. The steak was seasoned perfectly and was cooked perfectly. Medium rare to medium. The dressing the salad dressing that came with the salad brought all the flavors together and really set the salad off. I can go on record and say that this is by far one of the best salads that i have ever had. My friends order a Cajun Chicken sandwich and they said that it was delicious as well. I have passed by this place so many times I'm glad i went in and will have to go back."
The Brick Pub & Grill,(425) 207-8951,Amira J.,"first of all, our server mike was so cool n sweet! authentically himself & laid back! he checked on our group often & made sure our water was refilled! it can be hard to feel welcomed by some restaurants especially if you are a black person of color so i just want to say my experience here with the service was amazing!
i met up with my folks here after work around 6. the pub is located at the end of a small lot that's shared with a gas station & a few other small stores. when you walk in it's pretty spacious inside. not really booths but lots of tables n chairs & a bar.
i ordered the large cajun chicken cesar salad 5/5: i was really excited about eating this. the portion of chicken was perfect with the amount of lettuce given. it came with parmesan, & croutons! the dressing wasn't heavy at all & i appreciated this because i was able to feel more refreshed after chowin dooown
overall i had a great experience here & would 100% recommend for happy hour & late dining.
happy hour is from 3-6, 9-close"
The Brick Pub & Grill,(425) 207-8951,Kristy R.,Thank you Kristy.
The Brick Pub & Grill,(425) 207-8951,Amber Lee A.,"Good food, in a location you wouldn't expect. I drove up to meet a friend and just assumed it was a gas station. I've now been twice and all the items I have tried were very good."
The Brick Pub & Grill,(425) 207-8951,Lena Y.,Thank you Lena .
The Brick Pub & Grill,(425) 207-8951,Chelsi A.,"Don't judge a book by its cover. I honestly thought it was a small old bar, and if it wasn't for my cousin recommendation I'm not sure we would have gone.
I love the atmosphere, great selection of local beers on tap and DELICIOUS pulled pork nachos; oh man!! I grew up in Renton and will know recommend this place to everyone. We will for sure be back."
The Brick Pub & Grill,(425) 207-8951,Henry L.,"Thank you for your kind words and constructive feedback. We hope to see you here again soon, cheers!"
The Brick Pub & Grill,(425) 207-8951,Mike S.,"Food was good, beers were cold service was a bit slow but it all worked out. Good atmosphere, friendly staff, fair food portions. Good place to chill."
The Brick Pub & Grill,(425) 207-8951,Deanna D.,"This is the 3rd time I've been here, and I love it! Very personable wait staff, great food selection, and our waiter was charismatic, and very attentive. We had the Brick Philly Dip, and the Black & Blue salad."
The Brick Pub & Grill,(425) 207-8951,Leslie W.,"We tried the Brick when it first opened. The had not worked out the kinks yet and it was all pretty sad. Very slow service, no vegetarian options and only 1 chicken option. Ordered just a salad and my husband had a burger. He felt the burger was tasty and the salad was decent but I don't go to restaurants just to have a salad. The menu was very lacking and extremely limited so never went back. We decided to see if the kinks were gone and tried again last week. Glad we did. The have re-vamped the menu and have a bit more variety and more chicken options. Had a chicken sandwich and my husband had a steak. He enjoyed it and I enjoyed my sandwich too. the food runner was awesome, stopping at all the tables to see if everything was okay. The female waitstaff did not give a rip that we were there. They ignored us even though the sign said seat yourself. We were in a table next to the bar and the blond bartender came over to take our order. Thankfully finally some attention. He was very pleasant and helpful. If not for him we would have left. Prices are fair, there are 8 or so tv's on the walls so always a game to watch. I recommend for the food but again the waitstaff is awful."
The Brick Pub & Grill,(425) 207-8951,Stephen G.,"Our second visit to the Brick Pub. First visit a few months back was not bad.
It took at least 15 minutes for the waiter to come to our table. We ordered drinks and dinner. It took around another 10 minutes for the waiter to bring the drinks over. She was doubling as a bartender too. It took around 40 more minutes to get our food...that's almost an hour since we got there. Not acceptable. Fish from fish and chips was over fried and hard. My wife's flank steak order was sirloin tip according to her, and it was pink on the inside though she ordered it medium well.
All in all, we were pretty disappointed..."
The Brick Pub & Grill,(425) 207-8951,Brad B.,"The Brick is a nice pub with great food, hiding in a gas station parking lot. From the outside it doesn't look like much, but the inside is large with lots of seating.
I loved the beer selection at the Brick. They had a whole bunch of local beers that you don't find at many other places, which that alone would keep me coming back.
The food was really good as well! I had a grilled cheese with bacon and peppers and it was awesome! I think it was about $12 which is reasonable.
They also have games out for customers to play, which is always fun when drinking beer with your friends."
The Brick Pub & Grill,(425) 207-8951,Koren C.,Thanks you Koren.
The Brick Pub & Grill,(425) 207-8951,Senor C.,"This place was SO good. The owner is really cool and the music is always fun.
With that said...
I have now had three bad meals in a row and I am ready to stop trying. That is big bucks I will never get back. How do you screw up a BLT? The bacon was so overcooked that it was more like burnt bacon dust than meat. The ""Philly cheese steak"" was not good and didn't even come with the advertised aioli sauce. My fries sucked and were cold. How on Earth can you make a bad cheese steak? I don't even remember what they screwed up before that but I still remember the dissapointment coupled with a 70 dollar check.
I have had everything on the menu in the past and it ALL used to be good.
Now, I am afraid to order anything.
I sure hope they fix it back to the way it was. There is nothing like this place in the highlands."
